"NAME","NAMEHCR","STALP","STNAME","BKCLASS","ASSET","CERT","FED_RSSD","org_name","commented","Commented","mean_ASSET","median_ASSET","mean_ASSET_type","median_ASSET_type"
"West One Bank",NA,"MT","Montana","NM",40057000,57534,3140309,"west one bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Legacy Bank, N.A.",NA,"CA","California","N",87235000,57536,3214077,"legacy bank, n.a.",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Old Harbor Bank",NA,"FL","Florida","NM",209048000,57537,3201527,"old harbor bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Hometown Bank of Alabama","Hometown Bancorp Of Alabama, Inc.","AL","Alabama","NM",350368000,57540,3217331,"the hometown bank of alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Toyota Financial Savings Bank",NA,"NV","Nevada","NM",931874000,57542,3287660,"toyota financial savings bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Trinity Bank, N.A.",NA,"TX","Texas","N",247936000,57543,3185896,"trinity bank, n.a.",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Longleaf Community Bank",NA,"NC","North Carolina","NM",62677000,57544,3203174,"longleaf community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Cabarrus Bank & Trust Company",NA,"NC","North Carolina","SM",126323000,57545,3166729,"cabarrus bank & trust company",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Heritage Bank","Heritage Bancshares, Inc.","KS","Kansas","SM",52686000,57548,3120897,"heritage bank",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Emerald Bank",NA,"OH","Ohio","NM",83513000,57550,3269974,"emerald bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Diablo Valley Bank",NA,"CA","California","NM",254642000,57551,3217519,"diablo valley bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Capital Bank","Germantown Capital Corporation, Inc.","TN","Tennessee","NM",293753000,57552,3177426,"first capital bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Traditions Bank","Traditions Bancshares, Inc.","AL","Alabama","NM",327224000,57554,3194692,"traditions bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
